Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
307,Texas A&M-Corpus Christi NCAA,35,24,11,0.686,-2.57,-7.02,14.0,4.0,13,2,8,7,2803,2561,71.7,110.9,0.348,0.342,0.559,52.6,55.2,11.7,5.3,0.513,15.2,33.7,0.276,101.3,0.359,0.431,0.548,47.4,57.7,8.9,8.4,0.52,18.5,27.8,0.244
308,Texas Southern NCAA,35,14,21,0.4,-10.56,-5.05,7.0,11.0,7,6,3,13,2422,2518,70.9,95.6,0.338,0.281,0.498,51.4,46.1,9.3,8.9,0.466,17.4,31.0,0.225,99.4,0.374,0.357,0.527,48.6,47.1,10.7,7.8,0.487,16.8,27.3,0.267
323,UC Santa Barbara NCAA,35,27,8,0.771,3.3,-2.03,15.0,5.0,12,3,10,4,2510,2305,65.5,109.1,0.343,0.296,0.575,51.3,53.6,9.7,6.7,0.545,15.4,26.7,0.25,100.2,0.287,0.315,0.533,48.7,48.3,7.5,6.0,0.498,16.6,25.8,0.215
325,UCLA NCAA,37,31,6,0.838,22.11,8.66,18.0,2.0,17,0,9,2,2743,2245,67.2,110.3,0.274,0.29,0.54,52.2,52.1,12.5,11.6,0.511,12.8,33.0,0.2,90.3,0.275,0.388,0.498,47.8,51.1,6.9,6.2,0.468,20.5,28.2,0.191
326,UNC Asheville NCAA,35,27,8,0.771,-1.74,-4.35,16.0,2.0,13,0,10,6,2604,2418,69.3,105.8,0.408,0.374,0.577,50.5,49.7,9.0,10.0,0.547,18.0,26.3,0.284,98.2,0.261,0.344,0.506,49.5,46.4,10.0,10.7,0.475,15.7,28.5,0.188
331,Utah State NCAA,35,26,9,0.743,14.23,6.81,13.0,5.0,14,2,6,4,2736,2446,69.2,112.6,0.343,0.425,0.596,53.0,61.8,7.2,8.6,0.562,15.6,27.3,0.262,100.7,0.304,0.338,0.52,47.0,47.5,8.1,7.8,0.482,14.2,24.3,0.226
338,Vermont NCAA,34,23,11,0.676,1.63,-3.13,14.0,2.0,13,1,9,6,2471,2276,65.5,109.7,0.285,0.429,0.573,49.1,51.6,8.9,8.3,0.551,12.8,20.3,0.198,101.0,0.266,0.368,0.541,50.9,45.5,7.6,8.3,0.513,15.6,22.2,0.193
340,Virginia NCAA,33,25,8,0.758,13.28,5.98,15.0,5.0,15,1,6,5,2237,1996,62.5,108.1,0.347,0.356,0.544,50.2,65.4,10.9,13.8,0.512,12.1,25.6,0.244,96.5,0.263,0.4,0.517,49.8,52.9,7.7,10.8,0.483,17.3,24.9,0.197
341,Virginia Commonwealth NCAA,35,27,8,0.771,9.89,1.95,15.0,3.0,15,3,8,3,2480,2202,68.3,103.8,0.416,0.327,0.555,50.1,52.8,13.0,12.8,0.52,17.3,28.9,0.289,92.2,0.311,0.341,0.504,49.9,51.3,9.6,9.9,0.469,20.8,30.0,0.219
349,West Virginia NCAA,34,19,15,0.559,15.95,10.89,7.0,11.0,13,4,3,8,2583,2411,69.6,108.8,0.394,0.363,0.557,52.0,50.1,9.6,8.6,0.515,16.0,34.0,0.292,101.5,0.387,0.351,0.548,48.0,50.4,9.6,6.6,0.509,18.4,29.3,0.281
361,Xavier NCAA,37,27,10,0.73,16.03,9.16,15.0,5.0,15,2,7,4,2995,2741,72.0,112.1,0.314,0.312,0.578,53.9,63.6,8.8,7.9,0.552,15.0,30.7,0.223,102.6,0.27,0.335,0.532,46.1,53.6,9.7,9.2,0.503,14.4,25.0,0.194
