Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
11,Arizona NCAA,high,high,low,high,med-high,medium,high,low,medium,low,med-high,low,med-high,medium,med-low,med-high,high,low,med-high,high,med-low,med-low,med-low,medium,medium,med-high,high,medium,med-low,med-high,med-low,low,high,low,med-low,med-low,med-low,low,med-low,low,16
13,Arkansas NCAA,med-high,medium,medium,medium,medium,medium,med-low,medium,medium,med-high,med-low,medium,high,high,high,medium,medium,low,med-low,low,low,high,med-high,low,med-low,medium,med-high,high,high,med-high,medium,high,medium,med-low,med-low,medium,med-low,high,high,medium,32
20,Baylor NCAA,med-low,med-high,med-low,med-high,med-high,high,med-low,medium,medium,med-low,med-low,med-low,med-low,low,low,medium,med-low,med-low,medium,high,high,low,high,medium,high,high,med-low,medium,med-low,medium,low,low,high,medium,med-high,low,low,medium,med-low,low,16
32,Bucknell NCAA,med-low,medium,med-low,medium,med-low,low,med-high,med-low,medium,med-low,med-high,med-high,medium,medium,med-high,med-low,medium,med-high,med-high,med-low,medium,med-high,medium,med-high,high,low,medium,med-low,medium,low,med-low,med-high,medium,high,medium,medium,med-high,medium,medium,med-high,64
34,Butler NCAA,low,medium,med-low,medium,med-high,med-high,med-low,medium,med-low,med-high,medium,med-low,med-low,med-low,med-low,med-high,medium,med-high,med-high,med-low,low,med-low,med-low,med-high,low,low,med-high,med-high,high,high,high,med-high,low,med-low,low,high,med-high,med-low,med-high,low,16
49,Cincinnati NCAA,med-high,high,low,high,med-high,medium,high,low,high,low,med-high,low,medium,low,low,med-high,med-low,medium,med-low,med-high,med-high,high,high,med-low,low,high,low,low,med-low,med-high,low,med-low,med-high,low,medium,low,med-high,med-high,med-low,med-low,32
61,Creighton NCAA,med-low,medium,medium,medium,med-high,med-high,low,med-high,med-low,high,medium,med-low,high,med-high,high,medium,low,medium,high,low,medium,med-low,low,high,medium,low,low,medium,med-low,med-high,med-high,high,med-low,med-high,med-low,med-high,medium,medium,med-low,med-low,64
64,Dayton NCAA,low,med-low,med-low,med-high,medium,med-low,med-high,med-low,medium,low,medium,low,low,low,medium,med-low,high,med-high,medium,low,high,high,med-high,med-high,medium,low,high,low,med-high,high,medium,high,high,low,high,med-low,high,med-low,med-high,medium,64
72,Duke NCAA,high,med-high,med-low,med-high,high,high,med-low,med-high,medium,low,low,med-high,high,high,medium,high,med-high,med-high,high,medium,low,med-low,medium,med-high,med-low,medium,high,med-high,medium,low,med-low,medium,med-low,low,low,med-low,low,med-high,medium,low,32
75,East Tennessee State NCAA,med-low,med-high,med-low,med-high,med-low,med-low,med-high,med-low,med-low,med-low,med-high,medium,med-high,medium,med-high,medium,high,med-low,high,med-high,medium,high,high,high,high,medium,high,med-low,high,high,med-high,med-low,med-low,high,high,medium,high,med-low,high,med-high,64
