Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
11,Arizona NCAA,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31,98,0.286,0.364,0.506,44.9,53.4,7,7.7,0.477,15.2,25.7,0.196,16
13,Arkansas NCAA,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,2855,2659,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29,103.1,0.39,0.367,0.519,50.5,50.4,7.2,7.7,0.478,15.7,33.9,0.275,32
20,Baylor NCAA,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13,0.53,17.1,40.2,0.244,97.5,0.299,0.351,0.498,43.5,58.2,8.3,9.6,0.462,15.1,28.6,0.213,16
32,Bucknell NCAA,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253,96.1,0.331,0.313,0.509,49.4,49.3,9.9,8.7,0.48,17.3,27.8,0.218,64
34,Butler NCAA,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,67.3,112.6,0.371,0.376,0.581,50.6,50,8.9,8.4,0.546,13.4,27.1,0.275,101.6,0.37,0.377,0.542,49.4,44.7,7.4,7.3,0.508,17.3,26.7,0.258,16
49,Cincinnati NCAA,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5,0.223,93.5,0.291,0.37,0.491,46.7,52.8,5.5,8.4,0.452,17.4,29.2,0.214,32
61,Creighton NCAA,35,25,10,0.714,17.27,8.95,10,8,13,4,7,4,2864,2549,72.9,112.3,0.277,0.358,0.592,49.3,55.5,8.4,7.6,0.576,15.2,24.8,0.189,100,0.288,0.368,0.525,50.7,48.1,9.2,7.5,0.498,16.8,28.9,0.199,64
64,Dayton NCAA,32,24,8,0.75,12.98,4.27,15,3,15,1,7,3,2428,2126,69.4,108.9,0.436,0.381,0.571,49.7,61,11.2,11.9,0.538,15,25.8,0.301,95.4,0.349,0.394,0.515,50.3,55.3,6.2,10.6,0.477,18.8,27.6,0.247,64
72,Duke NCAA,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6,0.299,100.5,0.312,0.288,0.51,48.1,46.6,6.8,6.7,0.475,14.9,29.6,0.222,32
75,East Tennessee State NCAA,35,27,8,0.771,7.31,-2.11,14,4,13,2,8,5,2782,2438,71.4,110.2,0.432,0.352,0.587,53.1,53.8,11.6,13.6,0.555,18,31.3,0.304,96.6,0.372,0.394,0.528,46.9,47.3,9.6,9.9,0.487,19.2,27.2,0.268,64
84,Florida NCAA,36,27,9,0.75,22.4,11.01,14,4,9,1,8,4,2804,2394,70.1,110,0.402,0.366,0.556,51.3,47.2,10.7,11.8,0.516,14.6,31.8,0.293,93.9,0.341,0.314,0.498,48.7,40.9,7.8,7.5,0.458,18.1,29.1,0.241,8
87,Florida Gulf Coast NCAA,34,26,8,0.765,2.26,-3.42,12,2,16,3,10,3,2701,2356,69.3,113.8,0.329,0.315,0.579,53.9,52.3,8.7,9.7,0.554,15.3,33.9,0.231,99.3,0.349,0.388,0.517,46.1,49.6,8.8,7.1,0.484,16.2,28.1,0.238,64
89,Florida State NCAA,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6,0.265,99.3,0.373,0.361,0.52,47.3,49.5,6.9,7.1,0.479,16.9,29.5,0.267,32
101,Gonzaga NCAA,39,37,2,0.949,25.26,4.13,17,1,15,1,9,0,3222,2398,70.9,116.5,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8,0.28,86.7,0.269,0.321,0.443,45.3,43.2,7.6,7.8,0.411,14.9,25.8,0.177,2
123,Iona NCAA,35,22,13,0.629,1.08,-2.47,12,8,8,4,7,7,2813,2689,72.3,109.9,0.31,0.4,0.569,48.2,55.3,9.3,7.7,0.534,14.6,26.9,0.238,105.1,0.334,0.355,0.532,51.8,53,6.6,7.8,0.5,15.4,32,0.232,64
125,Iowa State NCAA,35,24,11,0.686,20.51,11.94,12,6,12,3,5,6,2829,2529,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,100.6,0.256,0.359,0.518,52.3,51.9,6.6,9.1,0.49,16.7,31.6,0.18,32
129,Jacksonville State NCAA,35,20,15,0.571,-2.85,-3.24,9,7,5,5,10,9,2434,2378,65.3,105.7,0.346,0.367,0.559,52.7,57.5,6.8,10.8,0.528,18,31.5,0.247,103.3,0.339,0.366,0.524,47.3,49,9.1,9,0.486,14.4,27.8,0.245,64
131,Kansas NCAA,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,71.4,115.4,0.36,0.359,0.583,53,54.5,9.6,11.2,0.561,15.1,33.9,0.244,99.7,0.3,0.342,0.515,47,49.9,9.4,9.4,0.481,16.1,29.4,0.215,8
133,Kansas State NCAA,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,67.5,106.4,0.412,0.363,0.56,49.2,60,11.4,10.3,0.527,16.8,29.5,0.286,100,0.334,0.34,0.533,50.8,55.5,9.3,9.5,0.496,19.1,32.3,0.244,64
135,Kent State NCAA,36,22,14,0.611,0.88,-1.63,10,8,10,6,7,5,2772,2628,70.7,107,0.328,0.349,0.521,54,45.5,8.9,9.7,0.484,14.9,38.7,0.236,101.4,0.333,0.356,0.53,46,51.9,8.3,5.7,0.497,16.8,29.6,0.234,64
136,Kentucky NCAA,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13,0.529,13.4,33.2,0.288,95.9,0.335,0.333,0.507,46.8,44,6.4,7.7,0.475,16.9,27.1,0.227,8
151,Louisville NCAA,34,25,9,0.735,22.47,11.15,12,6,16,1,5,5,2628,2243,68.5,112,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,95.6,0.388,0.356,0.5,45.9,48.3,7.2,8.3,0.457,17,28.2,0.269,32
158,Marquette NCAA,32,19,13,0.594,15.26,8.6,10,8,14,3,4,6,2631,2418,71.1,115.2,0.31,0.415,0.607,49.6,57.1,10.1,9.3,0.576,15.5,27,0.242,105.9,0.356,0.342,0.553,50.4,59.5,9.2,10.3,0.522,16,29.1,0.249,64
160,Maryland NCAA,33,24,9,0.727,12.79,8.29,12,6,13,5,8,2,2438,2246,68.1,108.1,0.398,0.411,0.557,50.3,57.1,8,11.9,0.523,16.3,31.1,0.278,99.6,0.327,0.328,0.507,49.7,46.3,9,10.9,0.471,15.9,31.8,0.23,64
168,Miami (FL) NCAA,33,21,12,0.636,14.48,9.57,10,8,14,2,4,6,2278,2116,64.7,106.3,0.343,0.326,0.544,53,47.8,9.9,10.5,0.51,16.6,33.4,0.246,98.7,0.287,0.347,0.512,47,51.9,9.2,8.3,0.476,16,28.1,0.212,64
170,Michigan NCAA,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9,7.4,0.57,12.8,24.5,0.234,103.1,0.272,0.288,0.542,52.1,45.7,6.6,8.3,0.519,17,29.5,0.186,16
171,Michigan State NCAA,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,68.2,105,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18,29.1,0.224,100.4,0.347,0.327,0.509,47.4,53.6,8.8,8.8,0.467,13.9,26.9,0.252,32
172,Middle Tennessee NCAA,36,31,5,0.861,9.8,-0.48,17,1,13,2,11,2,2697,2299,66.4,112.4,0.304,0.299,0.567,53.9,54.4,10.1,8.3,0.543,13.6,30.7,0.212,95.8,0.372,0.36,0.519,46.1,50.6,7.1,5.8,0.478,17.7,23.8,0.265,32
174,Minnesota NCAA,34,24,10,0.706,14.56,8.82,11,7,17,3,5,5,2556,2361,70.3,104.6,0.396,0.299,0.528,50.5,57.2,7.9,15.9,0.487,14,29.6,0.281,96.6,0.292,0.332,0.484,49.5,53.7,7.9,8.7,0.451,15,30.1,0.199,64
185,Mount St. Mary's NCAA,36,20,16,0.556,-4.29,-3.51,14,4,11,4,8,11,2446,2474,68.4,99.1,0.324,0.369,0.536,44.5,46,9,9.6,0.51,17.1,23,0.218,100.2,0.326,0.274,0.525,55.5,43.9,9.3,7.9,0.499,18.5,34.6,0.215,64
190,Nevada NCAA,35,28,7,0.8,10.49,2.03,14,4,13,1,8,4,2792,2496,70.9,112.1,0.413,0.402,0.561,52.4,59.9,7.6,11,0.525,13.4,30.3,0.291,100.2,0.282,0.355,0.512,47.6,52,7.7,6.3,0.483,14,26.1,0.195,64
