Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
1,Abilene Christian NCAA,low,med-high,low,med-high,low,low,medium,med-low,med-low,med-low,high,med-low,med-low,low,med-low,medium,medium,low,medium,med-low,high,high,low,medium,med-high,med-low,medium,low,high,low,med-high,med-high,med-low,medium,low,med-high,high,medium,high,high,64
12,Arizona State NCAA,low,med-low,medium,med-low,med-low,medium,med-low,medium,med-low,med-high,med-low,medium,medium,med-high,high,med-low,high,med-low,med-low,medium,med-low,low,med-low,med-low,high,med-high,high,med-high,high,high,med-high,medium,med-high,med-high,medium,medium,medium,medium,high,med-high,64
17,Auburn NCAA,high,high,medium,med-high,high,high,med-low,med-high,medium,med-low,low,med-high,high,high,med-high,high,med-low,high,med-high,low,med-low,high,high,med-high,med-low,med-high,med-low,medium,high,high,high,high,med-high,med-low,high,high,high,high,high,med-low,4
20,Baylor NCAA,low,low,high,low,medium,med-high,low,med-high,med-low,high,low,med-high,med-low,med-low,med-low,medium,med-low,med-high,med-low,high,med-high,medium,high,med-low,high,high,med-low,high,high,medium,med-high,low,high,med-high,high,med-high,med-low,med-high,high,medium,32
21,Belmont NCAA,low,med-high,low,high,med-low,low,high,low,med-low,low,high,low,high,med-high,high,high,low,high,high,medium,high,med-low,med-low,high,low,low,low,med-high,low,low,medium,medium,low,med-low,med-high,medium,low,low,low,med-high,64
28,Bradley NCAA,medium,low,high,low,low,med-low,low,high,low,high,low,high,low,med-low,low,low,med-high,low,low,med-low,med-low,low,medium,low,high,med-low,med-high,medium,high,medium,medium,med-high,med-high,medium,low,med-low,medium,med-low,high,high,64
33,Buffalo NCAA,med-high,high,low,high,med-high,med-low,high,low,medium,low,high,low,high,high,high,high,medium,high,medium,medium,med-high,med-high,med-low,medium,low,med-high,med-low,med-low,medium,med-low,med-low,medium,low,low,medium,med-low,med-high,medium,medium,med-low,32
50,Cincinnati NCAA,medium,med-high,low,med-high,medium,medium,medium,med-low,high,med-low,medium,med-low,med-low,low,low,medium,high,low,low,med-high,medium,medium,high,low,low,high,med-high,medium,medium,high,medium,med-low,medium,low,med-high,medium,high,med-high,med-low,med-low,64
54,Colgate NCAA,medium,medium,medium,medium,low,low,medium,medium,medium,low,med-high,high,medium,med-high,medium,medium,low,med-high,high,med-high,med-high,med-low,med-low,high,high,med-low,low,high,med-low,med-high,high,med-low,medium,high,med-high,high,med-low,medium,med-low,high,64
73,Duke NCAA,high,high,low,high,high,high,medium,med-low,medium,med-low,medium,low,high,high,high,med-high,medium,med-low,medium,med-high,medium,high,high,med-high,med-low,high,med-low,low,low,low,low,med-low,med-low,med-high,med-low,low,medium,med-high,low,low,8
84,FDU NCAA,medium,low,high,low,low,low,med-low,medium,med-low,high,medium,high,medium,high,medium,medium,med-high,low,med-high,low,medium,med-high,medium,med-high,high,med-low,med-high,high,medium,medium,high,high,med-high,med-high,medium,high,med-high,high,medium,high,64
85,Florida NCAA,med-high,low,high,low,med-high,high,low,high,low,high,low,med-high,low,med-low,low,low,low,med-high,low,low,med-low,med-high,medium,low,medium,medium,low,medium,med-high,medium,medium,high,med-low,high,medium,medium,high,high,med-high,medium,32
90,Florida State NCAA,high,med-high,med-low,med-high,med-high,med-high,medium,medium,medium,low,med-low,med-low,high,med-high,med-high,med-low,med-high,medium,med-low,med-high,low,med-high,med-high,med-low,high,med-high,med-high,med-low,high,medium,medium,med-low,low,med-low,medium,med-low,med-high,medium,high,low,16
94,Gardner-Webb NCAA,medium,med-low,med-high,med-low,low,low,med-low,medium,med-low,low,medium,high,med-high,med-high,medium,med-high,high,med-low,high,low,medium,med-high,med-low,high,med-low,low,high,med-high,med-low,high,medium,high,med-high,medium,med-low,med-high,medium,high,med-low,high,64
