Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
285,St. John's (NY) NCAA,34,21,13,0.618,7.88,5.5,8,10,13,4,4,7,2623,2542,72.6,105,0.295,0.385,0.548,45.8,50,12.1,9.8,0.518,13,21.4,0.212,101.8,0.397,0.422,0.545,54.2,54.2,7,6.4,0.507,18.5,29.2,0.282,47,68
290,Syracuse NCAA,34,20,14,0.588,13.73,10.09,10,8,13,6,6,4,2370,2246,67.2,103.4,0.368,0.432,0.529,48.4,50.5,12.1,16.8,0.496,15.9,30,0.252,98,0.343,0.481,0.52,51.6,67.8,9.8,9.9,0.48,19.6,33.3,0.247,30,64
292,Temple NCAA,33,23,10,0.697,8.17,4.93,13,5,13,2,8,5,2465,2358,70.5,104.4,0.325,0.374,0.534,48.2,54.5,12,6.2,0.499,13.8,26.1,0.236,99.9,0.339,0.383,0.535,51.8,50.1,7.7,6.8,0.506,18,28.4,0.23,43,68
293,Tennessee NCAA,37,31,6,0.838,21.55,10.16,15,3,18,0,7,3,3035,2580,69.4,116.1,0.333,0.32,0.587,52.3,59.7,8.5,15.2,0.554,13.7,30.9,0.251,98.7,0.343,0.406,0.504,47.7,51.2,8.8,6.3,0.475,15.6,29.4,0.224,5,16
302,Texas Tech NCAA,38,31,7,0.816,22.79,9.53,14,4,17,1,6,3,2765,2261,67.6,106.9,0.329,0.36,0.567,50.8,52.3,10.7,15.4,0.535,15.8,26.3,0.241,87.4,0.367,0.403,0.475,49.2,49.5,9.2,7,0.43,19.8,27.5,0.255,10,2
312,UC Irvine NCAA,37,31,6,0.838,5.7,-2.3,15,1,12,2,13,2,2675,2353,66.2,107.8,0.296,0.325,0.543,54.8,48.5,8.5,10.9,0.516,15.2,34,0.208,94.8,0.33,0.338,0.48,45.2,43.9,7.8,7.1,0.439,14.6,26.7,0.233,51,32
315,UCF NCAA,33,24,9,0.727,13.37,5.58,13,5,15,2,5,5,2385,2128,67.3,107.1,0.453,0.356,0.557,51.5,53.6,8.5,12.6,0.529,15.5,29,0.294,95.5,0.292,0.384,0.482,48.5,53.5,8.5,8.1,0.454,15.3,29.2,0.189,32,32
322,Utah State NCAA,35,28,7,0.8,11.98,0.89,15,3,14,1,9,4,2753,2349,70,111.6,0.367,0.379,0.575,56.2,62.4,8.7,12.2,0.538,15.8,31.9,0.274,95.2,0.34,0.398,0.504,43.8,51,8.7,9.5,0.464,15.6,22.2,0.243,32,64
328,Vermont NCAA,34,27,7,0.794,4.88,-4.18,14,2,16,2,11,4,2508,2143,66.5,110.2,0.359,0.403,0.568,53.2,46.2,8.3,11.9,0.53,14.6,27.3,0.269,94.1,0.274,0.378,0.517,46.8,46,8.2,8.3,0.484,17.5,21.3,0.2,52,64
329,Villanova NCAA,36,26,10,0.722,14.33,7.97,13,5,13,2,5,7,2654,2425,65,112.2,0.344,0.535,0.565,51.3,56.9,8.2,8.7,0.532,14.2,30.1,0.251,102.5,0.282,0.397,0.531,48.7,56.1,7.9,8.8,0.504,15.4,27.4,0.197,21,32
330,Virginia NCAA,38,35,3,0.921,25.46,10.15,16,2,15,1,10,1,2714,2132,60.8,116.3,0.291,0.395,0.58,53.9,55.9,9,13,0.552,12.8,29.7,0.216,91.3,0.263,0.425,0.475,46.1,43.4,8.1,8.3,0.447,15.4,24.7,0.175,2,1
331,Virginia Commonwealth NCAA,33,25,8,0.758,11.96,2.87,16,2,16,1,8,4,2344,2044,69,102.1,0.357,0.412,0.535,50.8,54.9,11.5,12.2,0.501,17.3,31,0.251,89.1,0.366,0.332,0.478,49.2,50.7,9.2,7.9,0.435,20,30.6,0.252,29,64
333,Virginia Tech NCAA,35,26,9,0.743,19.28,7.79,12,6,14,2,5,5,2574,2172,64.4,113.3,0.319,0.437,0.588,51.9,59.5,10.4,8.4,0.556,15.2,29.2,0.243,95.6,0.263,0.499,0.52,48.1,56.5,7.7,10,0.49,19,27,0.19,16,16
336,Washington NCAA,36,27,9,0.75,12.01,7.01,15,3,15,1,7,4,2511,2331,67.4,103.2,0.347,0.399,0.551,47.6,47.5,13.3,16.3,0.521,17.4,28.8,0.241,95.8,0.34,0.353,0.513,52.4,58.6,8.9,7.6,0.475,20.5,34.5,0.241,33,32
347,Wisconsin NCAA,34,23,11,0.676,17.9,11.01,14,6,12,3,8,5,2333,2099,64.8,103.9,0.273,0.346,0.531,49.8,49.2,7.9,11,0.511,13,24.3,0.177,93.5,0.258,0.35,0.479,50.2,45.5,7.8,10.8,0.452,15,26.3,0.172,19,64
348,Wofford NCAA,35,30,5,0.857,13.92,0.8,18,0,15,1,11,3,2879,2295,68.5,119.2,0.271,0.436,0.598,54.5,50.6,9.6,9.1,0.58,13.5,32.5,0.19,95,0.304,0.402,0.521,45.5,48.5,7.9,7.3,0.49,18,23.8,0.214,28,32
352,Yale NCAA,30,22,8,0.733,5.52,-1.24,10,4,11,2,8,5,2427,2202,72.9,109.7,0.307,0.35,0.584,52.9,56.3,8,11.2,0.556,15.9,25.8,0.227,99.5,0.305,0.38,0.509,47.1,48.9,9.4,7.9,0.471,13.5,24.1,0.223,55,64
