Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
32,Bryant,33,20,13,.606,-3.06,-3.54,,11,5,,11,3,,8,10,,2598,2488,,76.0,102.9,.299,.386,.545,47.1,51.0,9.1,14.9,.523,14.2,21.0,.200
33,Bucknell,33,14,19,.424,-8.33,-6.39,,10,8,,6,8,,8,11,,2153,2217,,64.1,100.6,.290,.449,.534,49.1,52.6,9.4,10.7,.504,16.7,25.8,.208
34,Buffalo,31,4,27,.129,-15.12,-2.82,,2,16,,2,13,,2,11,,2108,2471,,70.5,96.1,.275,.408,.509,48.7,53.9,8.6,11.4,.477,17.9,28.5,.197
35,Butler,33,18,15,.545,12.18,9.49,,9,11,,12,6,,4,7,,2544,2432,,69.4,108.6,.263,.382,.555,49.5,54.1,8.7,8.4,.521,13.6,26.9,.208
36,Cal Poly,32,4,28,.125,-13.64,-2.28,,0,20,,3,11,,0,16,,2037,2371,,66.7,94.3,.320,.336,.497,44.8,43.7,8.0,9.5,.460,16.5,24.5,.226
37,Cal State Bakersfield,32,13,19,.406,-5.37,-2.17,,8,12,,10,4,,2,13,,2199,2214,,66.3,102.4,.323,.256,.512,50.9,41.5,10.2,10.7,.474,15.3,33.9,.234
38,Cal State Fullerton,32,14,18,.438,-5.15,-1.15,,7,13,,7,7,,6,10,,2172,2212,,67.5,100.2,.399,.365,.532,48.0,38.4,9.9,8.9,.491,16.1,24.8,.282
39,Cal State Northridge,34,19,15,.559,-4.78,-4.13,,9,11,,9,7,,9,7,,2551,2503,,73.5,101.7,.367,.260,.526,53.4,50.2,10.1,10.1,.495,16.6,32.3,.245
40,California,32,13,19,.406,4.94,8.00,,9,11,,10,6,,3,8,,2367,2465,,69.7,103.7,.292,.420,.525,50.5,46.5,8.5,6.7,.492,14.1,28.6,.212
41,California Baptist,33,16,17,.485,-2.32,-2.26,,8,12,,11,7,,4,9,,2222,2197,,65.7,101.7,.377,.363,.507,53.6,48.8,6.1,6.5,.470,15.2,32.9,.257
42,Campbell,32,14,18,.438,-10.62,-5.66,,8,10,,11,6,,3,11,,2272,2307,,67.0,104.8,.339,.387,.562,48.3,52.7,9.3,7.0,.530,15.9,24.4,.246
43,Canisius,32,14,18,.438,-7.95,-4.89,,8,12,,8,4,,3,12,,2252,2307,,68.5,101.9,.283,.361,.520,52.2,47.7,8.7,8.5,.501,16.6,33.5,.177
