Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
197,New Mexico State NCAA,34,27,7,0.794,7.11,1.24,13,4,13,2,9,3,2464,2197,68.3,105.7,0.341,0.424,0.554,55.1,53.5,7.3,12.2,0.524,17.7,33,0.239,94.2,0.276,0.427,0.492,44.9,49.7,10,6.4,0.453,15.4,25,0.206,50,32
202,Norfolk State NCAA,31,24,7,0.774,-3.91,-9.3,12,2,11,0,7,6,2302,1997,70.7,105,0.371,0.356,0.554,53.4,47.4,9.4,11.2,0.522,17.3,30.7,0.259,91.1,0.331,0.452,0.478,46.6,55.2,8.2,8.9,0.446,16.9,26.9,0.213,64,64
204,North Carolina NCAA,39,29,10,0.744,15.5,8.89,15,5,15,2,8,3,3038,2780,70.3,109.7,0.303,0.381,0.551,55.8,54.1,7.3,9.7,0.515,14.2,31.8,0.232,100.4,0.214,0.362,0.512,44.2,47.5,9.4,9.3,0.486,12.2,21.5,0.155,30,2
219,Notre Dame NCAA,35,24,11,0.686,11.87,7.01,15,5,14,1,7,5,2540,2349,65.9,108.6,0.267,0.423,0.571,50.2,53.8,7.8,4.8,0.543,14.1,22.4,0.201,100.4,0.219,0.352,0.511,49.8,45.3,8.9,9.3,0.488,13.3,24.8,0.152,45,32
222,Ohio State NCAA,32,20,12,0.625,14.17,9.08,12,8,13,3,5,6,2329,2166,65.1,110.9,0.334,0.395,0.578,52,48.8,6.9,12.8,0.543,15.1,29.3,0.253,103.2,0.291,0.36,0.511,48,47.8,9.4,7.6,0.476,13.3,28.7,0.213,28,32
240,Providence NCAA,33,27,6,0.818,13.08,7.75,14,3,16,1,7,2,2360,2184,65.9,106.4,0.37,0.38,0.54,52.2,54.1,7.5,9.7,0.5,14.7,30.3,0.269,98.5,0.27,0.361,0.494,47.8,46,8.7,10.6,0.463,13.5,27.4,0.188,15,16
241,Purdue NCAA,37,29,8,0.784,19.15,8.23,14,6,16,1,5,5,2936,2532,66.7,117.8,0.382,0.392,0.593,57.1,58.6,6.9,9.7,0.565,15,35.2,0.272,101.6,0.216,0.406,0.516,42.9,53.3,8.8,7.1,0.491,12.5,23.8,0.156,11,16
247,Richmond NCAA,37,24,13,0.649,7.07,4.48,10,8,11,4,7,5,2628,2532,67.4,104.8,0.31,0.417,0.542,47.6,57.4,11.2,6.3,0.511,13,22.4,0.223,100.9,0.234,0.361,0.531,52.4,49.4,7.9,9.3,0.505,16.6,27.5,0.17,49,32
250,Rutgers NCAA,32,18,14,0.563,8.78,6.81,12,8,14,3,4,9,2192,2129,65.5,102.9,0.262,0.316,0.525,51.4,58.8,10.6,11.7,0.499,15,29.6,0.184,99.9,0.286,0.397,0.519,48.6,52.5,8.7,7.9,0.486,15.6,26.9,0.207,44,68
256,Saint Mary's (CA) NCAA,34,26,8,0.765,14.82,6.58,12,3,16,0,6,4,2370,2061,65.5,106.5,0.24,0.363,0.556,53.4,51.6,10.6,6.6,0.528,15.2,27.8,0.182,92.6,0.249,0.283,0.505,46.6,37.2,9.2,8.5,0.475,17.4,22.1,0.18,19,32
257,Saint Peter's NCAA,34,22,12,0.647,2.96,-0.47,14,6,9,4,7,7,2277,2125,66.7,99.7,0.371,0.303,0.519,51.5,52.4,10.5,14.8,0.48,17.2,31.3,0.26,93,0.408,0.364,0.492,48.5,52.9,10.2,12.8,0.439,17.8,28.7,0.295,60,8
261,San Diego State NCAA,32,23,9,0.719,13.13,5.85,13,4,14,1,5,5,2093,1860,65.3,99,0.311,0.308,0.518,51.5,50.2,11.3,14.4,0.487,16.8,29.5,0.215,88,0.31,0.378,0.476,48.5,51.4,8.8,8,0.441,19.2,27.3,0.211,31,64
262,San Francisco NCAA,34,24,10,0.706,14.12,5.24,10,6,14,4,7,2,2630,2304,70.9,108.7,0.29,0.453,0.56,53.4,46.9,10.8,11.6,0.537,15.6,30.2,0.201,95.2,0.331,0.305,0.509,46.6,43.6,8.6,8.8,0.471,16.3,23.7,0.236,37,64
