Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
7,Albany (NY) NCAA,low,medium,med-low,med-high,low,low,med-high,low,low,medium,high,medium,low,low,low,med-low,medium,med-high,medium,med-high,low,med-low,low,med-low,med-high,medium,med-high,med-high,med-low,high,high,med-low,med-high,low,high,high,med-high,low,med-low,high,64
11,Arizona NCAA,high,high,low,high,high,medium,high,low,high,low,medium,low,high,medium,med-high,high,high,low,med-high,high,med-low,med-high,med-low,med-high,med-low,med-high,high,low,med-high,med-low,med-low,low,low,low,low,med-low,high,low,med-high,low,8
13,Arkansas NCAA,med-high,med-high,med-low,med-high,med-high,medium,medium,med-low,high,med-low,medium,medium,high,high,high,medium,medium,med-low,med-low,low,med-high,med-high,medium,med-low,med-low,high,medium,med-high,high,med-low,high,high,medium,med-low,low,med-high,high,high,high,med-low,32
20,Baylor NCAA,low,medium,medium,medium,med-high,high,low,med-high,med-high,med-low,med-low,medium,med-low,med-low,low,medium,medium,medium,med-low,high,high,high,medium,med-low,med-high,high,medium,med-low,med-low,med-high,low,low,high,high,high,med-low,medium,med-high,med-low,low,64
21,Belmont NCAA,low,low,medium,med-low,low,low,low,med-low,low,med-low,medium,high,medium,med-high,med-high,med-high,low,high,high,med-low,med-high,med-low,low,high,high,low,low,high,low,med-high,high,med-high,medium,high,high,high,medium,medium,med-low,high,64
24,Boise State NCAA,low,medium,med-low,med-high,med-low,med-low,med-high,med-low,med-low,low,medium,medium,med-low,low,low,med-high,low,high,med-high,medium,low,med-low,low,med-high,med-low,low,low,med-low,med-low,med-high,medium,medium,med-low,low,med-high,medium,med-high,low,medium,med-high,68
29,Brigham Young NCAA,medium,medium,medium,medium,medium,medium,medium,med-low,med-low,medium,medium,low,high,high,high,high,med-high,med-high,high,med-high,high,medium,low,med-high,med-low,medium,high,high,high,medium,high,med-low,med-high,med-high,medium,high,med-low,med-low,high,med-high,68
33,Buffalo NCAA,low,med-low,medium,medium,med-low,med-low,med-low,medium,low,med-low,med-high,med-high,medium,medium,high,medium,med-high,med-low,med-low,medium,med-low,med-high,medium,low,med-low,med-high,high,med-high,med-high,high,med-high,medium,med-low,medium,med-low,med-high,med-high,medium,medium,med-high,64
34,Butler NCAA,low,med-low,medium,med-low,med-high,med-high,med-low,medium,med-low,medium,medium,med-low,med-low,med-low,med-low,med-low,med-high,low,low,med-high,low,medium,med-low,low,med-low,med-high,medium,low,medium,medium,medium,low,medium,med-low,high,medium,med-high,low,medium,med-low,32
49,Cincinnati NCAA,low,med-low,medium,med-low,med-low,medium,medium,med-low,medium,medium,med-low,medium,low,low,low,low,medium,low,low,med-high,med-low,med-high,high,med-low,high,high,med-low,low,low,medium,low,med-low,med-high,med-high,med-low,low,medium,high,low,medium,32
