Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
52,Coastal Carolina NCAA,low,medium,medium,medium,low,low,med-low,medium,medium,med-low,medium,med-high,medium,med-low,medium,med-high,med-high,medium,med-low,high,low,med-high,medium,med-low,medium,high,med-high,med-low,medium,high,medium,low,med-high,medium,low,medium,med-low,low,med-high,high,64
63,Davidson NCAA,low,medium,med-low,med-high,medium,med-low,med-high,med-low,medium,low,med-high,med-low,med-high,medium,med-high,high,low,high,med-high,med-low,high,low,low,high,low,med-low,low,high,med-high,medium,med-high,med-high,medium,low,high,high,low,medium,medium,medium,64
64,Dayton NCAA,med-high,med-high,med-low,med-high,med-low,medium,medium,med-low,med-high,low,low,medium,medium,medium,med-low,med-low,high,high,med-high,low,high,med-high,low,med-high,med-high,low,high,med-low,med-low,medium,medium,high,med-high,med-low,high,medium,high,med-low,med-low,med-high,32
72,Duke NCAA,high,high,low,high,high,high,med-high,med-low,medium,low,med-high,low,high,high,med-high,high,med-high,medium,high,med-high,medium,med-high,med-low,high,low,high,medium,medium,low,low,med-low,med-low,low,med-low,med-low,medium,med-low,medium,low,low,1
79,Eastern Washington NCAA,medium,med-high,med-low,med-high,low,low,med-high,med-low,med-low,med-low,high,medium,high,high,high,high,low,high,high,low,low,med-low,med-high,high,low,low,med-low,high,med-high,med-high,high,high,high,low,high,high,med-low,medium,med-high,med-high,64
96,Georgetown NCAA,low,low,medium,med-low,med-high,high,med-low,medium,med-low,medium,low,med-low,med-low,med-low,medium,medium,high,medium,medium,medium,medium,high,high,medium,med-high,med-high,high,med-high,high,med-high,med-high,medium,med-high,med-high,med-high,medium,med-high,med-high,high,med-low,32
97,Georgia NCAA,low,low,med-high,med-low,medium,med-high,low,med-high,low,med-high,medium,med-low,low,med-low,medium,low,high,med-low,med-low,med-high,medium,low,med-high,low,med-high,medium,high,medium,med-high,med-high,low,med-low,low,med-high,high,low,low,med-low,med-high,medium,64
99,Georgia State NCAA,medium,medium,medium,medium,med-low,med-low,med-high,med-low,low,low,medium,high,med-high,med-low,med-low,med-high,medium,low,med-high,low,med-low,high,med-high,med-high,med-low,med-low,medium,medium,high,high,medium,high,high,low,low,med-low,high,high,high,high,32
101,Gonzaga NCAA,high,high,low,high,high,medium,high,low,medium,low,high,low,high,med-high,medium,high,medium,med-low,high,high,med-high,med-low,med-low,high,low,medium,medium,med-low,med-low,low,low,low,low,medium,low,low,low,med-low,med-low,low,8
105,Hampton NCAA,medium,low,high,low,low,low,low,high,low,high,low,high,med-low,med-high,high,low,high,medium,low,low,low,medium,medium,low,high,med-low,med-high,medium,high,low,med-high,high,low,low,med-high,medium,med-high,med-high,high,high,64
107,Harvard NCAA,low,low,med-low,med-high,med-low,med-low,med-low,med-low,low,med-low,med-high,med-low,low,low,low,low,med-high,low,low,medium,med-high,high,med-high,low,med-high,medium,med-high,low,medium,medium,med-low,medium,medium,med-low,med-low,medium,med-high,med-low,medium,med-high,64
121,Indiana NCAA,low,low,high,low,medium,medium,low,high,medium,med-high,low,medium,med-high,high,med-high,high,low,high,med-high,medium,med-low,low,low,med-high,med-low,med-high,low,high,medium,low,high,medium,low,med-high,high,high,low,med-high,medium,medium,64
124,Iowa NCAA,low,low,med-high,med-low,med-high,med-high,med-low,medium,medium,med-high,medium,med-low,med-low,med-low,med-low,medium,medium,med-low,low,med-high,med-high,medium,med-high,low,med-low,med-high,med-high,medium,med-low,med-high,med-low,med-low,med-high,med-high,medium,med-low,medium,medium,med-low,med-low,32
125,Iowa State NCAA,low,medium,med-low,med-high,med-high,high,med-low,medium,medium,low,med-low,medium,med-high,med-high,high,med-high,med-low,med-high,med-high,med-low,med-high,med-low,med-low,med-high,low,low,med-low,med-high,low,medium,medium,med-high,high,med-low,medium,med-high,med-low,medium,low,low,64
131,Kansas NCAA,med-high,med-high,med-low,med-high,high,high,medium,med-low,medium,low,low,medium,med-high,med-high,med-high,med-low,med-high,low,med-low,medium,medium,medium,medium,med-low,med-high,med-high,high,medium,medium,med-low,low,medium,med-low,high,high,low,low,med-high,medium,low,32
136,Kentucky NCAA,high,high,low,high,high,med-high,high,low,high,low,high,low,high,med-low,med-low,high,high,low,med-high,high,medium,medium,high,medium,low,high,high,low,med-low,low,low,low,low,low,low,low,med-high,high,med-low,low,4
138,Lafayette NCAA,low,low,med-high,low,low,low,low,high,low,high,med-high,med-high,medium,high,medium,med-high,low,med-high,high,low,med-high,low,low,high,medium,low,low,high,low,high,high,high,medium,med-high,medium,high,low,high,low,high,64
148,Louisiana State NCAA,low,low,medium,med-low,med-low,medium,low,med-high,med-low,med-high,medium,low,medium,medium,high,low,low,low,med-low,med-low,med-high,medium,high,medium,high,medium,low,med-low,med-low,low,low,medium,low,high,medium,low,medium,high,low,medium,64
151,Louisville NCAA,med-high,med-high,med-low,med-high,high,med-high,med-low,medium,medium,med-high,medium,low,medium,med-low,medium,low,medium,med-low,low,medium,low,high,high,low,med-low,med-high,med-low,low,medium,med-low,low,medium,high,medium,low,low,high,medium,med-low,med-low,64
156,Manhattan NCAA,low,low,high,low,low,low,medium,med-high,low,med-low,low,high,low,medium,high,low,high,med-high,med-low,low,high,high,low,med-low,high,med-low,high,medium,high,low,high,high,high,high,high,med-high,high,high,high,high,68
160,Maryland NCAA,medium,high,low,high,medium,med-high,med-high,med-low,high,low,med-low,med-low,medium,medium,medium,med-low,high,high,med-high,med-low,low,low,medium,medium,med-high,low,high,medium,low,high,low,med-high,med-low,medium,med-high,med-low,low,medium,low,low,32
171,Michigan State NCAA,high,med-high,med-high,medium,med-high,high,med-low,medium,low,med-high,medium,med-low,high,high,med-low,med-high,low,med-high,medium,med-high,high,low,med-high,med-high,medium,medium,low,medium,high,medium,medium,med-low,med-low,medium,med-low,med-low,low,med-low,high,med-low,4
175,Mississippi NCAA,low,low,med-high,low,med-low,medium,low,med-high,low,high,medium,med-low,medium,med-high,med-high,medium,med-low,medium,low,medium,med-low,medium,medium,low,low,med-high,medium,high,high,high,med-high,medium,high,low,medium,med-high,med-low,med-high,high,med-high,64
188,NC State NCAA,med-high,low,high,low,med-high,high,low,high,medium,high,low,medium,med-high,med-high,med-low,medium,med-low,medium,low,medium,low,low,med-high,med-low,low,medium,low,high,med-high,med-low,med-low,medium,medium,med-low,med-high,med-low,low,medium,med-high,medium,16
194,New Mexico State NCAA,low,med-low,medium,med-low,med-low,low,medium,low,medium,med-low,med-low,high,low,low,med-low,medium,high,low,medium,high,med-low,medium,med-low,medium,high,high,high,med-low,med-low,low,med-low,low,med-low,medium,low,medium,med-high,medium,medium,high,64
200,North Carolina NCAA,high,med-high,med-high,medium,high,high,low,med-high,low,high,medium,med-low,high,high,high,med-high,med-low,low,medium,high,high,med-low,medium,medium,medium,high,med-low,med-high,med-high,high,med-low,low,med-high,high,med-low,med-low,med-low,med-high,high,low,16
204,North Dakota State NCAA,low,med-low,medium,medium,low,low,med-low,med-low,medium,low,low,high,low,med-low,low,low,med-low,med-high,med-low,med-low,low,low,medium,med-low,med-low,low,med-low,med-high,med-low,medium,med-high,med-high,medium,low,low,med-high,med-low,low,medium,high,64
205,North Florida NCAA,medium,med-low,med-high,med-low,low,low,med-low,low,low,med-low,med-high,high,med-high,med-high,high,med-high,medium,high,high,med-low,medium,med-low,med-low,high,med-high,med-low,med-high,med-high,medium,low,med-high,med-high,low,high,med-low,med-high,med-low,med-high,medium,high,68
207,Northeastern NCAA,medium,med-low,med-high,med-low,low,med-low,med-low,medium,low,medium,medium,med-high,medium,med-high,med-low,medium,med-high,med-low,high,med-high,high,low,med-low,high,high,med-low,med-high,high,low,low,high,low,medium,high,med-high,high,low,low,low,high,64
211,Northern Iowa NCAA,medium,high,low,high,medium,med-low,high,low,med-high,low,med-high,low,low,low,low,med-high,med-high,high,high,medium,medium,medium,low,high,medium,low,med-high,low,low,high,med-low,medium,med-low,med-low,low,med-low,medium,low,low,med-low,32
215,Notre Dame NCAA,high,high,low,high,high,medium,med-high,med-low,high,med-low,medium,low,high,high,med-low,high,med-low,high,high,low,medium,med-high,med-low,high,low,low,medium,high,low,med-low,medium,high,medium,low,low,med-high,low,high,low,low,8
218,Ohio State NCAA,medium,medium,medium,medium,high,medium,low,med-high,high,med-low,low,medium,med-high,medium,med-high,high,low,medium,med-high,med-low,medium,high,high,med-high,med-low,medium,low,med-low,low,high,med-low,medium,high,low,low,medium,high,high,med-low,medium,32
219,Oklahoma NCAA,medium,medium,medium,medium,high,high,med-low,medium,medium,low,low,medium,med-high,medium,med-high,med-low,low,medium,med-low,med-low,low,medium,med-high,med-low,medium,med-low,low,low,low,medium,low,med-high,med-low,med-high,med-high,low,medium,med-high,low,low,16
220,Oklahoma State NCAA,low,low,high,low,medium,high,low,high,low,med-high,low,high,low,low,medium,low,medium,high,medium,low,med-low,high,high,medium,med-high,low,medium,medium,high,medium,medium,high,med-high,med-high,high,medium,med-high,high,high,medium,64
224,Oregon NCAA,med-high,med-high,medium,medium,medium,med-high,medium,med-low,high,med-low,med-low,med-low,high,high,high,medium,low,med-high,med-high,med-low,med-low,low,medium,med-high,medium,med-low,low,high,med-high,medium,med-high,med-high,low,med-low,low,med-high,low,med-high,med-high,medium,32
236,Providence NCAA,low,low,med-high,med-low,med-high,high,low,med-high,med-low,med-high,low,medium,med-low,medium,medium,med-low,med-high,low,low,med-high,med-high,med-high,med-high,low,medium,med-high,med-high,med-high,high,med-high,med-high,med-low,med-high,medium,med-low,med-high,med-high,med-low,high,med-low,64
237,Purdue NCAA,low,low,med-high,low,medium,med-high,med-low,medium,medium,medium,low,medium,med-low,medium,medium,med-low,med-high,medium,med-low,med-high,high,low,high,medium,med-high,high,med-high,med-high,high,low,med-low,med-low,medium,high,medium,med-low,med-low,med-high,high,medium,64
245,Robert Morris NCAA,medium,low,high,low,low,low,med-low,medium,low,high,medium,high,medium,high,med-high,low,med-low,med-low,med-low,low,med-low,high,low,med-low,high,med-low,med-low,high,med-high,med-high,high,high,high,med-high,medium,high,high,high,med-high,high,64
257,San Diego State NCAA,med-high,med-high,med-low,med-high,medium,medium,med-high,med-low,med-high,low,med-low,medium,low,low,low,low,med-low,med-low,low,medium,low,med-high,high,low,medium,med-high,low,low,low,med-low,low,medium,low,medium,high,low,high,medium,low,medium,32
278,Southern Methodist NCAA,low,med-high,low,med-high,medium,med-low,med-high,med-low,med-high,med-low,medium,med-low,med-low,low,med-low,medium,high,low,medium,high,high,med-high,high,medium,med-high,high,high,med-low,med-low,high,med-low,low,high,high,medium,med-low,med-high,med-low,med-low,med-low,64
283,St. John's (NY) NCAA,low,low,med-high,med-low,medium,med-high,low,high,med-high,med-high,low,medium,med-low,medium,high,med-low,med-low,med-low,med-low,low,low,med-high,high,med-low,low,low,med-low,med-high,medium,med-high,med-low,high,high,low,med-low,medium,medium,high,med-low,medium,64
285,Stephen F. Austin NCAA,low,high,low,high,med-low,low,high,low,medium,low,high,low,med-high,medium,high,high,high,med-high,high,med-high,high,med-high,med-low,high,high,high,high,med-low,high,low,high,low,med-low,medium,med-high,med-high,high,med-low,high,med-high,64
295,Texas NCAA,low,low,high,low,med-high,med-high,low,high,med-low,high,low,med-high,low,med-low,med-low,med-low,med-low,med-high,med-low,high,medium,low,high,low,med-high,high,medium,med-low,med-high,med-low,low,low,medium,high,medium,low,low,med-low,med-high,medium,64
298,Texas Southern NCAA,medium,low,med-high,med-low,low,low,high,low,low,low,high,high,med-low,med-high,med-low,low,high,med-low,med-low,low,low,med-low,low,med-low,med-high,medium,high,high,medium,low,med-high,high,med-low,high,high,high,med-low,high,med-low,high,64
308,UAB NCAA,med-high,low,high,low,low,med-low,med-low,medium,med-low,med-high,low,high,medium,high,med-high,low,low,low,low,med-low,med-high,medium,med-high,low,med-high,medium,med-low,med-high,medium,med-low,med-high,med-high,medium,med-high,med-high,med-high,medium,high,medium,high,32
310,UC Irvine NCAA,low,low,med-high,low,med-low,med-low,low,med-low,low,medium,med-low,high,low,med-low,med-low,med-low,low,med-low,medium,med-low,medium,low,med-high,medium,medium,med-low,low,medium,med-high,low,low,med-high,med-low,medium,low,low,med-low,medium,med-high,med-high,64
314,UCLA NCAA,med-high,low,high,low,medium,med-high,low,med-high,med-high,low,low,high,med-high,high,med-high,med-low,med-low,low,low,medium,medium,medium,medium,med-low,medium,medium,low,med-high,medium,high,med-high,medium,high,med-high,med-low,med-high,med-low,med-low,medium,med-high,16
319,Utah NCAA,medium,med-high,med-low,med-high,high,medium,medium,med-low,med-high,low,med-low,medium,medium,low,low,high,high,med-high,high,med-high,med-high,med-low,med-high,high,med-high,med-low,med-high,low,medium,low,low,med-low,low,medium,med-high,low,medium,med-low,medium,med-low,16
324,Valparaiso NCAA,low,high,low,high,med-low,med-low,medium,med-low,medium,low,medium,med-low,med-low,low,med-low,medium,med-low,medium,medium,high,med-low,med-low,high,medium,med-high,med-high,med-low,low,medium,high,low,low,high,high,medium,low,medium,low,medium,med-high,64
327,Villanova NCAA,med-high,high,low,high,high,med-high,high,low,medium,low,med-high,low,high,medium,medium,high,med-high,high,high,med-low,high,high,medium,high,med-low,medium,med-high,low,med-low,medium,med-low,medium,med-high,med-low,med-low,med-low,high,med-high,med-low,low,32
328,Virginia NCAA,low,high,low,high,high,med-high,high,low,medium,low,high,low,low,low,low,med-high,low,low,medium,high,medium,med-low,med-high,medium,low,medium,med-low,low,med-low,med-high,low,low,medium,medium,low,low,med-low,low,low,low,32
329,Virginia Commonwealth NCAA,med-high,med-high,medium,medium,medium,medium,med-low,medium,low,med-high,medium,med-low,med-high,med-high,med-high,medium,medium,high,low,low,med-low,high,med-high,low,low,med-low,med-low,medium,med-high,med-high,high,high,high,medium,med-high,high,high,medium,med-high,medium,64
337,West Virginia NCAA,medium,medium,medium,medium,med-high,high,low,med-high,low,medium,low,medium,med-high,med-high,high,med-low,med-high,medium,low,medium,med-high,high,med-low,low,medium,high,medium,medium,high,medium,high,medium,med-high,med-low,med-high,high,high,med-high,high,med-low,16
342,Wichita State NCAA,medium,high,low,high,med-high,med-low,high,low,medium,low,high,low,medium,low,low,med-high,medium,med-high,medium,med-high,medium,high,medium,medium,low,med-high,med-low,low,med-high,med-low,med-low,med-low,low,low,medium,med-low,high,low,med-high,med-low,16
345,Wisconsin NCAA,high,high,low,high,high,high,high,low,medium,low,high,low,high,med-high,low,high,med-low,med-high,high,high,med-low,low,low,high,low,medium,medium,medium,low,low,medium,low,low,low,low,med-high,low,low,low,low,2
346,Wofford NCAA,medium,high,low,high,low,low,high,low,med-low,low,high,medium,med-low,med-low,low,med-low,medium,medium,medium,med-low,medium,med-high,low,medium,medium,low,medium,med-low,med-high,med-low,med-high,med-high,low,med-low,medium,medium,med-high,low,med-high,med-high,64
348,Wyoming NCAA,medium,medium,medium,medium,med-low,med-low,low,med-high,high,med-low,low,med-high,low,low,low,low,med-high,high,med-high,low,high,med-low,med-low,med-high,high,low,medium,med-low,low,med-high,med-low,high,med-low,medium,med-low,medium,med-low,low,low,med-high,64
349,Xavier NCAA,high,med-low,high,low,med-high,high,low,high,med-low,medium,low,med-high,high,high,medium,med-high,medium,medium,med-high,med-high,high,med-low,med-low,med-high,medium,med-low,medium,high,medium,high,high,med-low,med-high,high,med-high,high,medium,med-low,medium,med-low,16
