Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
1,Abilene Christian NCAA,medium,high,low,high,low,low,medium,low,high,low,low,medium,high,medium,high,medium,medium,medium,low,medium,high,high,low,medium,medium,high,medium,low,high,low,low,medium,medium,high,high,low,high,medium,high,32
4,Alabama NCAA,high,high,low,high,high,high,high,low,high,low,high,low,high,high,high,medium,low,high,medium,medium,low,high,medium,medium,medium,high,low,low,medium,low,low,medium,low,high,high,low,high,high,medium,16
10,Appalachian State NCAA,medium,low,high,low,low,low,low,high,low,high,low,high,medium,medium,low,low,high,high,low,low,low,high,medium,low,medium,medium,high,low,low,medium,medium,high,medium,medium,high,medium,high,medium,low,68
13,Arkansas NCAA,high,high,low,high,high,medium,medium,low,high,low,low,medium,high,high,high,medium,medium,low,medium,medium,low,high,high,medium,medium,high,high,low,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,8
20,Baylor NCAA,high,high,low,high,high,medium,medium,low,medium,low,high,low,high,medium,medium,high,low,medium,high,medium,medium,high,medium,high,low,high,low,low,high,low,high,low,medium,low,high,high,high,high,medium,1
29,Brigham Young NCAA,medium,medium,low,high,medium,medium,low,low,medium,medium,high,low,medium,medium,high,high,low,high,high,high,high,low,low,high,high,low,low,medium,medium,low,low,low,low,high,low,low,low,low,medium,64
50,Clemson NCAA,low,low,medium,medium,medium,high,low,medium,medium,low,low,medium,low,low,low,low,low,high,low,low,high,medium,medium,low,high,low,low,medium,medium,high,medium,high,medium,high,high,high,high,medium,medium,64
51,Cleveland State NCAA,medium,medium,medium,medium,low,low,high,low,low,medium,high,medium,low,medium,medium,low,medium,low,low,low,medium,medium,low,low,medium,medium,medium,high,high,high,high,high,high,high,low,high,medium,high,high,64
53,Colgate NCAA,low,low,low,high,medium,low,medium,low,low,low,medium,low,low,low,high,high,medium,medium,high,medium,high,medium,low,high,low,low,medium,medium,low,medium,low,low,low,low,low,low,low,low,low,64
55,Colorado NCAA,high,high,medium,medium,high,high,high,medium,medium,low,medium,high,high,high,low,high,low,medium,medium,medium,medium,low,low,medium,medium,medium,high,medium,medium,low,medium,low,medium,low,medium,medium,high,low,medium,32
57,Connecticut NCAA,low,low,medium,low,high,medium,medium,medium,low,medium,medium,low,low,low,low,medium,low,low,low,high,low,medium,high,low,medium,high,low,medium,high,low,medium,low,low,medium,low,low,medium,high,high,64
59,Creighton NCAA,high,high,medium,medium,high,medium,high,medium,medium,medium,high,medium,high,high,medium,medium,low,high,medium,low,medium,medium,low,high,low,low,low,medium,low,high,low,high,high,low,medium,medium,low,medium,low,16
67,Drake NCAA,high,high,low,high,low,low,high,low,high,low,high,low,high,high,low,high,low,low,medium,high,low,high,low,high,low,medium,low,medium,medium,medium,medium,low,low,medium,low,medium,medium,low,medium,64
68,Drexel NCAA,low,low,medium,low,low,low,low,medium,low,medium,low,medium,low,low,low,medium,low,medium,high,medium,high,low,low,high,high,low,low,high,low,low,high,low,low,high,high,high,low,low,medium,64
76,Eastern Washington NCAA,low,low,medium,medium,low,low,medium,low,low,medium,medium,medium,low,low,high,medium,medium,high,high,low,medium,low,low,high,medium,low,medium,medium,medium,medium,medium,high,low,low,low,medium,low,medium,medium,64
81,Florida NCAA,low,low,high,low,medium,high,low,high,low,medium,low,medium,low,medium,high,low,medium,low,high,medium,low,medium,high,medium,high,medium,high,high,high,medium,medium,medium,medium,high,high,medium,medium,high,high,32
86,Florida State NCAA,low,medium,low,medium,high,medium,medium,low,high,low,low,medium,low,low,medium,high,medium,low,high,medium,medium,medium,high,high,high,high,medium,medium,high,high,medium,medium,medium,high,low,low,medium,high,high,16
93,Georgetown NCAA,low,low,high,low,low,high,low,high,low,high,low,high,low,medium,high,low,medium,medium,low,high,low,low,medium,low,high,high,medium,high,low,high,medium,low,high,high,medium,high,low,medium,low,64
97,Georgia Tech NCAA,low,low,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,low,medium,high,low,high,high,medium,high,medium,low,low,high,medium,low,high,high,high,low,low,high,high,high,medium,64
98,Gonzaga NCAA,high,high,low,high,high,medium,high,low,high,low,high,low,high,high,high,high,high,low,high,high,medium,high,low,high,low,medium,high,low,low,low,low,low,low,medium,low,medium,medium,low,low,2
100,Grand Canyon NCAA,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low,medium,high,medium,medium,high,high,high,low,medium,high,medium,high,low,low,medium,high,low,low,low,medium,low,low,low,low,medium,64
103,Hartford NCAA,low,low,medium,low,low,low,low,medium,low,low,low,high,low,low,low,low,low,high,low,low,low,medium,low,low,high,low,low,medium,low,high,low,high,medium,medium,high,medium,medium,high,low,64
108,Houston NCAA,high,high,low,high,high,medium,high,low,high,low,low,low,high,medium,low,high,medium,high,medium,high,medium,high,high,medium,low,high,medium,low,high,medium,low,low,high,low,low,low,high,medium,high,4
113,Illinois NCAA,high,high,low,high,high,high,high,low,medium,medium,high,low,high,high,high,high,high,low,high,high,medium,low,low,high,medium,high,high,medium,medium,low,low,low,low,high,high,low,low,low,medium,32
119,Iona NCAA,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low,medium,low,high,medium,medium,high,medium,medium,high,low,high,high,high,low,high,medium,medium,low,high,high,low,low,medium,medium,high,64
120,Iowa NCAA,high,high,medium,medium,high,high,high,medium,high,medium,medium,medium,high,high,high,high,medium,high,high,medium,high,low,high,high,low,medium,medium,high,low,high,medium,medium,high,low,medium,high,low,high,low,32
127,Kansas NCAA,high,medium,medium,medium,medium,high,medium,medium,high,low,low,high,high,high,medium,low,medium,medium,low,medium,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium,medium,medium,medium,medium,high,medium,low,32
