Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing,Seeding
264,San Diego State NCAA,high,medium,medium,medium,medium,medium,low,medium,medium,low,low,high,medium,medium,medium,low,high,medium,low,medium,low,high,high,low,medium,medium,high,low,medium,high,low,medium,medium,medium,medium,low,medium,medium,medium,low,18
272,South Carolina NCAA,low,medium,low,high,medium,medium,medium,low,medium,medium,high,low,low,low,low,low,medium,high,low,medium,high,low,low,low,medium,medium,low,high,medium,low,medium,medium,medium,medium,high,medium,low,medium,medium,medium,24
276,South Dakota State NCAA,low,low,high,low,low,low,medium,low,low,medium,low,low,medium,medium,medium,medium,low,high,high,medium,low,low,medium,high,high,low,low,high,low,high,high,medium,medium,high,medium,high,medium,low,low,medium,61
293,Stetson NCAA,low,low,high,low,low,low,low,low,medium,medium,low,high,medium,high,medium,medium,low,high,medium,low,low,low,low,medium,medium,low,low,high,low,medium,high,high,medium,medium,low,high,low,high,low,medium,64
298,TCU NCAA,low,low,high,low,medium,medium,low,high,low,high,low,low,medium,medium,high,low,medium,low,low,high,high,high,medium,low,high,high,medium,medium,high,low,high,low,high,high,medium,high,high,medium,high,medium,35
300,Tennessee NCAA,medium,high,low,high,high,high,medium,low,medium,medium,high,low,high,medium,high,medium,medium,high,low,medium,high,high,high,low,low,medium,medium,low,high,high,low,medium,medium,medium,low,low,high,medium,high,low,5
304,Texas NCAA,low,low,high,low,medium,high,low,high,medium,high,low,medium,low,low,medium,low,low,low,medium,low,medium,high,high,medium,high,medium,low,medium,high,low,medium,high,medium,high,medium,medium,high,high,high,low,27
305,Texas A&M NCAA,medium,low,high,low,medium,high,low,high,low,high,low,medium,medium,high,medium,medium,high,medium,low,high,low,medium,medium,low,low,high,high,high,medium,high,high,low,high,low,high,high,medium,medium,medium,low,34
309,Texas Tech NCAA,low,low,medium,medium,medium,high,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,high,medium,low,high,low,low,medium,high,medium,high,high,low,medium,medium,high,low,medium,high,medium,medium,high,low,medium,23
317,UAB NCAA,low,low,medium,low,low,medium,medium,medium,low,high,medium,low,medium,high,medium,medium,high,low,low,medium,low,medium,high,low,medium,high,high,high,medium,medium,high,medium,medium,high,high,high,low,high,medium,medium,50
330,Utah State NCAA,low,high,low,high,medium,medium,medium,low,medium,low,high,low,medium,medium,medium,medium,high,low,high,medium,high,medium,high,high,medium,low,high,medium,medium,medium,medium,medium,medium,high,low,medium,medium,low,medium,low,30
337,Vermont NCAA,low,high,low,high,low,low,high,low,high,low,high,low,low,low,low,low,low,high,medium,low,medium,low,medium,medium,low,low,low,low,low,medium,low,high,low,low,high,low,low,low,low,medium,51
339,Virginia NCAA,low,low,medium,medium,low,medium,medium,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low,high,high,high,low,low,low,low,low,low,medium,low,high,medium,low,medium,low,high,medium,low,high,41
343,Wagner NCAA,low,low,high,low,low,low,low,high,low,high,high,high,low,low,low,low,low,medium,low,low,medium,medium,low,low,medium,medium,low,low,medium,high,low,high,high,low,medium,medium,medium,medium,low,medium,68
346,Washington State NCAA,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,high,low,low,high,low,medium,medium,low,medium,medium,low,low,low,low,medium,low,low,low,low,high,low,26
351,Western Kentucky NCAA,low,low,medium,low,low,low,low,high,low,medium,low,high,medium,medium,high,low,medium,low,low,medium,low,medium,medium,medium,high,low,medium,low,medium,high,low,medium,medium,high,high,low,high,medium,medium,medium,60
356,Wisconsin NCAA,medium,low,high,low,high,high,low,high,medium,medium,low,high,medium,medium,low,medium,medium,medium,medium,medium,low,medium,low,medium,low,medium,medium,high,high,low,high,medium,low,low,high,high,medium,low,high,medium,19
361,Yale NCAA,low,low,medium,medium,low,low,low,low,low,medium,high,medium,low,low,low,medium,low,medium,medium,medium,medium,low,medium,medium,low,low,low,medium,low,high,medium,medium,high,low,medium,medium,medium,low,low,low,52
