Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
3,Akron NCAA,35,24,11,0.686,2.77,-2.08,13.0,5.0,13,1,7,6,2577,2316,66.9,109.6,0.318,0.428,0.555,53.0,49.7,8.4,8.0,0.523,14.5,30.6,0.231,98.5,0.283,0.372,0.514,47.0,45.8,8.7,7.5,0.486,15.2,25.2,0.194
4,Alabama NCAA,37,25,12,0.676,20.69,11.8,13.0,5.0,14,2,5,5,3335,3006,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11.0,0.563,13.6,35.0,0.273,109.2,0.388,0.371,0.54,47.4,45.9,9.9,12.8,0.496,13.1,31.0,0.286
11,Arizona NCAA,36,27,9,0.75,24.54,9.45,15.0,5.0,15,1,7,4,3137,2594,73.3,116.8,0.364,0.334,0.576,56.6,59.2,11.2,9.5,0.545,13.6,35.6,0.261,96.6,0.259,0.379,0.513,43.4,52.3,9.3,8.5,0.484,16.0,23.3,0.184
17,Auburn NCAA,35,27,8,0.771,22.46,7.66,13.0,5.0,15,1,5,5,2909,2391,70.9,117.2,0.383,0.375,0.58,52.3,61.6,10.4,15.9,0.542,13.0,32.9,0.287,96.4,0.415,0.334,0.492,47.7,42.7,9.4,8.5,0.437,15.6,30.2,0.305
20,Baylor NCAA,35,24,11,0.686,19.5,10.71,11.0,7.0,15,2,4,5,2814,2489,66.8,117.8,0.395,0.386,0.592,54.6,53.2,9.9,8.6,0.558,15.0,35.8,0.289,104.2,0.303,0.356,0.547,45.4,53.0,10.2,9.8,0.515,15.4,27.1,0.223
25,Boise State NCAA,33,22,11,0.667,13.31,7.35,13.0,5.0,13,3,7,3,2479,2221,66.9,111.4,0.359,0.397,0.554,55.6,47.1,8.5,6.8,0.516,14.1,34.1,0.264,99.8,0.319,0.369,0.53,44.4,48.5,8.5,10.7,0.495,15.3,22.2,0.232
30,Brigham Young NCAA,34,23,11,0.676,19.33,7.86,10.0,8.0,16,2,3,7,2768,2378,69.9,116.4,0.254,0.504,0.573,54.2,63.4,8.5,7.6,0.548,13.1,32.8,0.188,100.0,0.32,0.34,0.515,45.8,47.3,8.7,7.5,0.482,14.2,24.6,0.224
52,Clemson NCAA,36,24,12,0.667,16.2,10.04,11.0,9.0,12,4,6,6,2785,2563,67.8,113.4,0.307,0.399,0.575,51.6,53.8,6.7,10.9,0.539,13.0,27.2,0.24,104.3,0.321,0.411,0.52,48.4,44.7,8.9,7.1,0.482,12.1,26.6,0.235
55,Colgate NCAA,35,25,10,0.714,-0.31,-5.55,16.0,2.0,13,3,10,5,2498,2242,66.4,107.5,0.273,0.383,0.559,51.9,56.6,9.8,10.1,0.538,14.1,25.3,0.186,96.5,0.24,0.402,0.498,48.1,53.2,8.5,7.0,0.475,14.9,24.5,0.161
56,College of Charleston NCAA,35,27,8,0.771,4.09,-2.38,15.0,3.0,13,2,10,2,2832,2575,70.4,114.6,0.275,0.471,0.55,53.1,53.3,8.9,8.1,0.522,11.9,33.6,0.198,104.2,0.288,0.371,0.536,46.9,43.3,8.7,9.5,0.508,14.4,25.9,0.203
