Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
200,North Carolina NCAA,38,26,12,0.684,20.63,11.76,11.0,7.0,10,5,7,4,2953,2616,69.2,111.6,0.353,0.223,0.548,55.2,60.1,9.5,11.3,0.516,15.1,40.0,0.247,98.9,0.378,0.368,0.497,44.8,52.4,9.6,8.2,0.454,15.1,31.2,0.265
204,North Dakota State NCAA,33,23,10,0.697,-1.72,-3.63,12.0,4.0,14,0,5,8,2141,2057,61.9,103.7,0.358,0.35,0.534,51.3,42.4,7.6,10.7,0.501,14.0,25.6,0.248,99.6,0.304,0.335,0.521,48.7,51.3,7.3,7.2,0.483,14.9,23.1,0.225
205,North Florida NCAA,35,23,12,0.657,-0.82,-5.94,12.0,2.0,12,2,9,9,2651,2385,67.7,111.9,0.391,0.424,0.585,50.7,56.4,9.0,9.9,0.553,16.1,30.1,0.283,100.7,0.328,0.278,0.508,49.3,47.0,9.7,8.6,0.476,15.3,31.3,0.222
207,Northeastern NCAA,35,23,12,0.657,2.03,-1.34,12.0,6.0,9,3,8,7,2397,2279,63.5,106.7,0.413,0.305,0.581,54.2,59.7,8.1,9.3,0.545,19.0,30.1,0.3,101.5,0.25,0.287,0.522,45.8,49.9,11.1,9.8,0.498,13.8,25.2,0.172
211,Northern Iowa NCAA,35,31,4,0.886,12.54,2.0,16.0,2.0,16,0,9,3,2281,1912,57.4,111.9,0.398,0.399,0.593,51.9,53.2,10.2,7.8,0.559,15.9,27.0,0.292,93.8,0.27,0.379,0.489,48.1,48.5,8.2,8.5,0.456,16.7,26.9,0.192
215,Notre Dame NCAA,38,32,6,0.842,19.23,7.02,14.0,4.0,17,2,7,2,2963,2499,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9,0.272,101.6,0.241,0.315,0.506,50.2,50.0,8.0,7.2,0.479,14.7,32.2,0.172
218,Ohio State NCAA,35,24,11,0.686,19.68,7.37,11.0,7.0,18,2,4,6,2635,2204,66.0,113.3,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5,0.236,94.7,0.278,0.377,0.497,48.5,57.5,7.7,7.4,0.464,18.5,32.0,0.196
219,Oklahoma NCAA,35,24,11,0.686,18.65,9.94,12.0,6.0,14,1,5,6,2501,2196,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10.0,12.9,0.493,15.1,31.5,0.243,92.4,0.284,0.345,0.47,48.9,49.4,9.4,9.7,0.441,16.7,31.4,0.186
220,Oklahoma State NCAA,32,18,14,0.563,12.95,9.63,8.0,10.0,12,4,3,8,2160,2011,64.6,103.6,0.387,0.388,0.547,48.6,49.9,12.1,13.7,0.507,16.6,27.8,0.281,96.5,0.417,0.322,0.502,51.4,52.4,9.3,11.0,0.458,17.9,31.9,0.286
224,Oregon NCAA,36,26,10,0.722,11.43,7.65,13.0,5.0,17,2,6,4,2713,2550,68.0,109.3,0.286,0.339,0.557,50.9,51.2,8.3,11.0,0.524,14.7,30.8,0.217,102.7,0.346,0.33,0.513,49.1,47.6,8.1,6.8,0.477,14.2,31.1,0.241
236,Providence NCAA,34,22,12,0.647,13.71,9.5,11.0,7.0,13,4,5,6,2370,2227,65.7,105.4,0.407,0.289,0.526,52.9,57.2,10.8,13.5,0.484,15.3,35.1,0.287,99.0,0.393,0.363,0.52,47.1,54.1,8.7,8.0,0.482,17.1,29.0,0.271
237,Purdue NCAA,34,21,13,0.618,12.93,7.64,12.0,6.0,14,3,4,6,2375,2195,65.0,106.4,0.417,0.324,0.539,53.5,61.1,8.3,13.6,0.502,16.8,36.5,0.285,98.3,0.384,0.305,0.497,46.5,51.0,10.6,8.8,0.454,15.1,30.9,0.266
245,Robert Morris NCAA,35,20,15,0.571,-3.02,-3.5,12.0,6.0,10,6,8,8,2414,2397,66.7,102.6,0.355,0.306,0.536,47.9,50.1,12.8,8.1,0.501,17.2,31.0,0.252,101.9,0.376,0.364,0.524,52.1,62.2,9.5,9.1,0.493,18.3,35.9,0.248
257,San Diego State NCAA,36,27,9,0.75,11.81,4.24,14.0,4.0,16,1,6,5,2226,1939,60.8,100.7,0.362,0.308,0.496,52.4,47.1,11.2,14.1,0.467,15.4,35.4,0.228,87.7,0.252,0.321,0.465,47.6,46.4,9.0,10.5,0.433,18.4,29.7,0.175
278,Southern Methodist NCAA,34,27,7,0.794,12.94,3.57,15.0,3.0,16,2,8,4,2350,2032,63.3,108.8,0.44,0.229,0.555,55.0,63.0,11.0,14.7,0.517,16.8,37.1,0.309,94.1,0.31,0.453,0.488,45.0,60.9,10.4,9.2,0.455,17.5,29.4,0.21
283,St. John's (NY) NCAA,33,21,12,0.636,11.85,9.04,10.0,8.0,16,4,4,6,2343,2240,67.6,104.6,0.363,0.301,0.529,47.4,48.9,11.0,16.8,0.494,13.7,28.4,0.251,100.0,0.333,0.358,0.496,52.6,56.1,7.6,8.5,0.466,16.2,34.9,0.218
285,Stephen F. Austin NCAA,34,29,5,0.853,8.61,-4.2,17.0,1.0,15,1,10,3,2672,2188,68.0,115.2,0.427,0.37,0.594,54.2,65.4,11.2,10.0,0.557,17.5,37.9,0.314,94.3,0.493,0.279,0.532,45.8,47.8,8.8,9.6,0.485,22.2,29.3,0.343
295,Texas NCAA,34,20,14,0.588,16.16,9.07,8.0,10.0,13,5,4,7,2290,2049,62.9,105.9,0.365,0.341,0.531,56.0,55.5,5.9,20.0,0.491,16.8,37.9,0.265,94.7,0.348,0.308,0.46,44.0,50.6,9.9,8.7,0.421,12.0,28.6,0.231
298,Texas Southern NCAA,35,22,13,0.629,-5.98,-6.09,16.0,2.0,9,1,10,11,2390,2386,64.5,103.6,0.468,0.312,0.531,50.0,45.8,9.3,7.7,0.495,16.8,33.8,0.309,103.5,0.331,0.283,0.52,50.0,47.7,9.9,10.4,0.493,15.8,34.6,0.216
308,UAB NCAA,36,20,16,0.556,1.94,1.62,12.0,6.0,13,4,3,8,2476,2452,65.9,101.5,0.35,0.297,0.52,51.0,59.1,9.7,13.0,0.477,16.8,34.2,0.259,100.5,0.329,0.32,0.509,49.0,49.7,9.1,10.0,0.476,16.5,32.9,0.225
310,UC Irvine NCAA,34,21,13,0.618,3.63,0.45,11.0,5.0,10,3,6,9,2295,2113,63.7,105.2,0.292,0.301,0.544,51.2,56.2,8.9,12.6,0.52,15.8,30.2,0.2,96.8,0.346,0.289,0.483,48.8,49.3,8.9,7.4,0.442,14.9,30.5,0.24
314,UCLA NCAA,36,22,14,0.611,12.07,8.27,11.0,7.0,16,1,2,8,2590,2453,67.3,106.1,0.357,0.289,0.527,52.6,53.5,9.8,11.0,0.496,14.9,33.8,0.242,100.5,0.323,0.385,0.518,47.4,58.4,9.3,8.0,0.485,15.6,28.6,0.225
319,Utah NCAA,35,26,9,0.743,20.98,7.42,13.0,5.0,16,1,6,5,2496,1999,62.6,113.5,0.432,0.372,0.588,53.7,57.6,9.5,13.5,0.557,16.1,31.6,0.303,90.9,0.337,0.293,0.47,46.3,43.6,8.9,9.9,0.43,16.1,27.9,0.23
324,Valparaiso NCAA,34,28,6,0.824,6.29,-2.0,13.0,3.0,15,1,8,4,2366,2021,63.8,108.6,0.368,0.338,0.548,55.1,52.9,9.3,14.1,0.52,16.4,35.6,0.248,92.8,0.327,0.382,0.485,44.9,56.3,10.5,9.0,0.446,16.6,26.9,0.23
327,Villanova NCAA,36,33,3,0.917,23.13,7.55,16.0,2.0,15,0,9,2,2754,2193,65.0,116.9,0.418,0.429,0.589,51.5,62.2,11.8,11.0,0.553,14.0,32.5,0.305,93.1,0.304,0.322,0.488,48.5,54.0,8.3,8.6,0.455,18.4,31.2,0.207
328,Virginia NCAA,34,30,4,0.882,21.73,7.81,16.0,2.0,15,1,11,1,2224,1751,58.6,110.8,0.349,0.275,0.543,56.0,53.5,9.3,13.3,0.506,13.4,34.2,0.254,87.2,0.286,0.366,0.454,44.0,49.5,8.5,7.4,0.423,15.7,24.3,0.185
329,Virginia Commonwealth NCAA,36,26,10,0.722,12.79,6.1,12.0,6.0,12,4,8,4,2609,2368,66.4,106.5,0.373,0.399,0.518,49.2,50.9,14.0,12.5,0.487,13.2,31.8,0.245,96.7,0.378,0.351,0.53,50.8,56.8,8.6,9.6,0.495,20.5,30.6,0.262
337,West Virginia NCAA,35,25,10,0.714,15.12,9.29,11.0,7.0,12,3,5,5,2542,2338,68.7,104.9,0.404,0.336,0.499,52.1,56.7,15.5,8.7,0.461,15.1,40.2,0.267,96.5,0.555,0.322,0.569,47.9,53.3,8.3,10.3,0.527,24.8,30.9,0.383
342,Wichita State NCAA,35,30,5,0.857,15.56,3.68,17.0,1.0,15,0,10,2,2460,2008,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9,0.259,92.0,0.368,0.309,0.497,46.4,45.4,6.5,9.2,0.456,18.7,26.8,0.255
345,Wisconsin NCAA,40,36,4,0.9,24.61,10.29,16.0,2.0,15,1,10,2,2900,2327,59.5,121.2,0.362,0.374,0.585,54.7,49.7,7.3,8.2,0.548,10.7,32.1,0.276,97.2,0.224,0.257,0.503,45.3,40.0,6.8,6.3,0.477,14.0,23.7,0.159
346,Wofford NCAA,35,28,7,0.8,2.56,-2.98,16.0,2.0,13,1,10,5,2331,2089,62.7,106.2,0.382,0.331,0.547,51.1,56.4,10.4,7.2,0.516,15.1,29.1,0.262,95.2,0.357,0.317,0.507,48.9,43.0,8.4,9.5,0.467,17.8,26.9,0.251
348,Wyoming NCAA,35,25,10,0.714,3.81,-0.04,11.0,7.0,17,2,5,7,2151,1974,58.3,103.1,0.394,0.397,0.56,49.9,67.1,9.2,8.9,0.526,16.9,22.3,0.277,94.6,0.26,0.355,0.495,50.1,49.0,9.0,8.1,0.465,15.9,26.4,0.183
349,Xavier NCAA,37,23,14,0.622,15.42,9.48,9.0,9.0,13,3,5,7,2712,2492,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9.0,8.3,0.534,15.8,31.3,0.281,100.9,0.333,0.371,0.529,47.2,54.7,9.9,9.9,0.5,16.4,27.3,0.226
